Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
Skyline Health,2018,3,Washington,7414850,117503,3738216,1593055,0,0,2083579
Astria Regional Medical Center,2018,3,Washington,0,0,0,0,0,0,0
EvergreenHealth Monroe,2018,3,Washington,36608232,1570217,12402100,8217985,0,0,15988147
CASCADE VALLEY HOSPITAL,2018,3,Washington,39434779,554954,13743400,11616860,0,0,14074519
NORTH VALLEY HOSPITAL OCPHD#4,2018,3,Washington,7483929,241656,4064088,1575409,0,0,1844432
Tri-State Memorial Hospital,2018,3,Washington,40529531,732927,23559270,4277499,0,0,12692762
EAST ADAMS RURAL HEALTHCARE,2018,3,Washington,0,0,0,0,0,0,0
Othello Community Hospital,2018,3,Washington,9027235,77740,1431962,5194823,0,0,2400450
Highline Medical Center,2018,3,Washington,233220117,4249437,99430376,58887029,0,0,74902712
University of Washington Medical Center,2018,3,Washington,777891956,18908307,279152208,125924248,0,0,372815500
Quincy Valley Medical Center,2018,3,Washington,2079703,15404,335511,318669,0,0,1425523
UW Medical Center ? Northwest,2018,3,Washington,304929530,4092195,147856421,42983361,0,0,114089748
Overlake Hospital Medical Center,2018,3,Washington,409719362,2927969,177853749,27211830,0,0,204653783
St. Clare Hospital,2018,3,Washington,218694499,650306,95623039,62529553,0,0,60541907
Island Hospital,2018,3,Washington,57708472,252647,29069601,6170515,0,0,22468356
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2018,3,Washington,7233058,220953,3872332,1658099,0,0,1702627
Swedish Edmonds,2018,3,Washington,216929351,1657715,96040612,39515325,0,0,81373414
HOLY FAMILY HOSPITAL,2018,3,Washington,148803502,1394156,74565336,34953890,0,0,39284276
Kittitas Valley Healthcare,2018,3,Washington,35558062,769006,15173813,6512616,0,0,13871633
Columbia County Public Hospital District No. 1,2018,3,Washington,6298262,100225,1564164,802253,0,0,3931845
St Michael Medical Center,2018,3,Washington,579457446,1181760,301264456,96009219,0,0,182183771
PeaceHealth St Joseph Medical Center,2018,3,Washington,402557872,3270017,211461756,74221179,0,0,116874937
Mid Valley Hospital,2018,3,Washington,16840428,240666,6647200,5174771,0,0,5018457
Kindred Hospital Seattle - Northgate,2018,3,Washington,34965225,0,17188728,930376,0,0,16846121
Douglas Lincoln and Okanogan Public Hospital Di,2018,3,Washington,11837732,-6942,4622046,3451172,0,0,3764514
Public Hospital District No 1 of Mason County WA,2018,3,Washington,54209134,2322019,23857398,15386594,0,0,14965142
Whitman Hospital & Medical Clinics,2018,3,Washington,10837472,207864,5733186,1787070,0,0,3317216
Valley Medical Center,2018,3,Washington,526900816,16707331,195081768,114122750,0,0,217696298
Whidbey Island Public Hospital District,2018,3,Washington,66881498,446252,31070887,8670980,0,0,27139631
St. Luke's Rehabilitation Institute,2018,3,Washington,29054898,636928,15006930,5992811,0,0,8055157
Cascade Medical Center,2018,3,Washington,6558135,236783,3464947,740102,0,0,2353086
Providence St. Peter Hospital,2018,3,Washington,494664649,1881302,278795997,77918304,0,0,137950348
Kadlec Regional Medical Center,2018,3,Washington,469982567,5023589,195726909,98193605,0,0,176062053
Sacred Heart Medical Center,2018,3,Washington,610074937,10265840,281583090,142707564,0,0,185784283
EvergreenHealth Kirkland / King Country Public Ho,2018,3,Washington,456009020,7173030,184560484,43239581,0,0,228208955
Lake Chelan Health,2018,3,Washington,12843534,497123,4542262,2615253,0,0,5686019
Ferry County Memorial Hospital,2018,3,Washington,3846489,196765,1618613,1043386,0,0,1184490
Confluence Health: Central Washington Hospital,2018,3,Washington,217168785,3561368,116489063,38497369,0,0,62182353
PeaceHealth Southwest Medical Center,2018,3,Washington,471439162,1626013,221548854,104844201,0,0,145046107
Public Hospital District #1-A of Whitman County,2018,3,Washington,30952488,397281,10815938,3032573,0,0,17103977
Arbor Health,2018,3,Washington,11508348,122255,6253260,2669523,0,0,2585565
Mary Bridge Children's Hospital,2018,3,Washington,198354138,1354342,124163,106452875,0,0,91777100
Tacoma General / Allenmore,2018,3,Washington,832234243,3237314,330462932,215596224,0,0,286175087
Valley Hospital and Medical Center,2018,3,Washington,158983428,244716,69865609,33664224,0,0,55453595
Auburn Medical Center,2018,3,Washington,198382127,1550914,81391821,54118475,0,0,62871831
Grays Harbor Count,2018,3,Washington,18794854,3313720,7050728,5729110,0,0,6015016
Providence Centralia Hospital,2018,3,Washington,183564725,462917,95030451,40987401,0,0,47546873
MOUNT CARMEL HOSPITAL,2018,3,Washington,27623688,201640,13934515,6611457,0,0,7077716
PROVIDENCE ST JOSEPH HOSPITAL,2018,3,Washington,10638716,19935,5427248,3245619,0,0,1965849
Snoqualmie Valley Hospital,2018,3,Washington,12091880,142592,7925405,1190261,0,0,2976214
Capital Medical Center,2018,3,Washington,141045543,78391,69030469,24157457,0,0,47857617
Astria Sunnyside Hospital,2018,3,Washington,0,0,0,0,0,0,0
ASTRIA TOPPENISH HOSPITAL,2018,3,Washington,0,0,0,0,0,0,0
St. Francis Hospital,2018,3,Washington,312892006,1068216,122491492,71926965,0,0,118473549
Regional Hospital for Respiratory & Complex Care,2018,3,Washington,9757519,0,9497799,861469,0,0,-601749
Fred Hutchinson Cancer Center,2018,3,Washington,305722898,9942795,108367813,34636997,0,0,162718088
Confluence Health: Wenatchee Valley Hospital,2018,3,Washington,154897289,16938451,70524372,26471406,0,0,57901511
PeaceHealth United General Medical Center,2018,3,Washington,33162871,20250,16112717,6557984,0,0,10492170
SKAGIT REGIONAL HEALTH,2018,3,Washington,305412098,4945863,153052977,62239286,0,0,90119835
Legacy Salmon Creek Medical Center,2018,3,Washington,261803383,893788,109980899,52106873,0,0,99715611
St. Anthony Hospital,2018,3,Washington,197200319,1782850,99480098,29274465,0,0,68445756
Swedish Issaquah,2018,3,Washington,169236358,1887560,59851325,16841346,0,0,92543687
PeaceHealth Peace Island Medical Center,2018,3,Washington,8524627,8511,4553238,1089818,0,0,2881571
MultiCare Covington Medical Center,2018,3,Washington,61938588,86897,14965768,16764029,0,0,30208791
