Hospital_Name,Quarter,Year,State,Acute_Care_Medicare_Patient_Days,Acute_Care_Medicaid_Patient_Days,Acute_Care_Self_Pay_Patient_Days,Acute_Care_Commercial_Patient_Days,Acute_Care_Other_Patient_Days,Acute_Care_Total_Patient_Days,Swing_Bed_Medicare_Patient_Days,Swing_Bed_Medicaid_Patient_Days,Swing_Bed_Self_Pay_Patient_Days,Swing_Bed_Commercial_Patient_Days,Swing_Bed_Other_Patient_Days,Swing_Bed_Total_Patient_Days,SNF_Medicare_Patient_Days,SNF_Medicaid_Patient_Days,SNF_Self_Pay_Patient_Days,SNF_Commercial_Patient_Days,SNF_Other_Patient_Days,SNF_Total_Patient_Days,Psych_Rehab_CDU_Medicare_Patient_Days,Psych_Rehab_CDU_Medicaid_Patient_Days,Psych_Rehab_CDU_Self_Pay_Patient_Days,Psych_Rehab_CDU_Commercial_Patient_Days,Psych_Rehab_CDU_Other_Patient_Days,Psych_Rehab_CDU_Total_Patient_Days,Total_Medicare_Patient_Days,Total_Medicaid_Patient_Days,Total_Self_Pay_Patient_Days,Total_Commercial_Patient_Days,Total_Other_Patient_Days,Total_Patient_Days,Total_Newborn_Days
Adventist Health Tillamook Medical Center,4,2007,Oregon,564.0,63.0,29.0,0.0,144.0,800.0,82,0,0,0.0,0,82,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,646.0,63.0,29.0,0.0,144.0,882.0,73.0
Asante Ashland Community Hospital,1,2007,Oregon,1098.0,151.0,110.0,0.0,343.0,1702.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1098.0,151.0,110.0,0.0,343.0,1702.0,147.0
Asante Ashland Community Hospital,2,2007,Oregon,973.0,82.0,70.0,0.0,411.0,1536.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,973.0,82.0,70.0,0.0,411.0,1536.0,142.0
Asante Ashland Community Hospital,3,2007,Oregon,830.0,147.0,100.0,0.0,489.0,1566.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,830.0,147.0,100.0,0.0,489.0,1566.0,176.0
Asante Ashland Community Hospital,4,2007,Oregon,813.0,217.0,67.0,0.0,509.0,1606.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,813.0,217.0,67.0,0.0,509.0,1606.0,178.0
Asante Rogue Regional Medical Center,1,2007,Oregon,9723.0,2528.0,783.0,0.0,4393.0,17427.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,9723.0,2528.0,783.0,0.0,4393.0,17427.0,527.0
Asante Rogue Regional Medical Center,2,2007,Oregon,8882.0,2609.0,608.0,0.0,4472.0,16571.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,8882.0,2609.0,608.0,0.0,4472.0,16571.0,587.0
Asante Rogue Regional Medical Center,3,2007,Oregon,7751.0,2750.0,555.0,0.0,4711.0,15767.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,145.0,22.0,0,0.0,39.0,206.0,7896.0,2772.0,555.0,0.0,4750.0,15973.0,613.0
Asante Rogue Regional Medical Center,4,2007,Oregon,8475.0,2677.0,816.0,0.0,4438.0,16406.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,247.0,104.0,0,0.0,150.0,501.0,8722.0,2781.0,816.0,0.0,4588.0,16907.0,578.0
Asante Three Rivers Medical Center,1,2007,Oregon,4156.0,780.0,545.0,0.0,1026.0,6507.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4156.0,780.0,545.0,0.0,1026.0,6507.0,345.0
Asante Three Rivers Medical Center,2,2007,Oregon,3954.0,835.0,400.0,0.0,1121.0,6310.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3954.0,835.0,400.0,0.0,1121.0,6310.0,341.0
Asante Three Rivers Medical Center,3,2007,Oregon,3652.0,689.0,362.0,0.0,1097.0,5800.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3652.0,689.0,362.0,0.0,1097.0,5800.0,333.0
Asante Three Rivers Medical Center,4,2007,Oregon,3986.0,762.0,340.0,0.0,1048.0,6136.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3986.0,762.0,340.0,0.0,1048.0,6136.0,299.0
Bay Area Hospital,1,2007,Oregon,4167.0,931.0,293.0,0.0,1508.0,6899.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4167.0,931.0,293.0,0.0,1508.0,6899.0,397.0
Bay Area Hospital,2,2007,Oregon,4330.0,1013.0,287.0,0.0,1599.0,7229.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4330.0,1013.0,287.0,0.0,1599.0,7229.0,440.0
Bay Area Hospital,3,2007,Oregon,3846.0,1139.0,255.0,0.0,1487.0,6727.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3846.0,1139.0,255.0,0.0,1487.0,6727.0,497.0
Bay Area Hospital,4,2007,Oregon,3802.0,1092.0,290.0,0.0,1574.0,6758.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3802.0,1092.0,290.0,0.0,1574.0,6758.0,399.0
Blue Mountain Hospital,1,2007,Oregon,104.0,43.0,2.0,0.0,81.0,230.0,54,0,0,0.0,0,54,0,1541,811,0.0,0,2352,0.0,0.0,0,0.0,0.0,0.0,158.0,1584.0,813.0,0.0,81.0,2636.0,24.0
Blue Mountain Hospital,2,2007,Oregon,110.0,34.0,32.0,0.0,80.0,256.0,70,0,0,0.0,4,74,0,1574,559,0.0,0,2133,0.0,0.0,0,0.0,0.0,0.0,180.0,1608.0,591.0,0.0,84.0,2463.0,27.0
Blue Mountain Hospital,3,2007,Oregon,100.0,26.0,14.0,0.0,57.0,197.0,95,0,0,0.0,8,103,0,1884,617,0.0,0,2501,0.0,0.0,0,0.0,0.0,0.0,195.0,1910.0,631.0,0.0,65.0,2801.0,28.0
Blue Mountain Hospital,4,2007,Oregon,114.0,22.0,10.0,0.0,107.0,253.0,64,0,0,0.0,1,65,0,1918,763,0.0,0,2681,0.0,0.0,0,0.0,0.0,0.0,178.0,1940.0,773.0,0.0,108.0,2999.0,19.0
Columbia Memorial Hospital,1,2007,Oregon,841.0,224.0,102.0,0.0,334.0,1501.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,841.0,224.0,102.0,0.0,334.0,1501.0,170.0
Columbia Memorial Hospital,2,2007,Oregon,941.0,243.0,104.0,0.0,389.0,1677.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,941.0,243.0,104.0,0.0,389.0,1677.0,245.0
Columbia Memorial Hospital,3,2007,Oregon,798.0,229.0,146.0,0.0,383.0,1556.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,798.0,229.0,146.0,0.0,383.0,1556.0,172.0
Columbia Memorial Hospital,4,2007,Oregon,953.0,174.0,133.0,0.0,236.0,1496.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,953.0,174.0,133.0,0.0,236.0,1496.0,155.0
Coquille Valley Hospital,1,2007,Oregon,272.0,32.0,0.0,0.0,135.0,439.0,64,0,0,0.0,0,64,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,336.0,32.0,0.0,0.0,135.0,503.0,7.0
Coquille Valley Hospital,2,2007,Oregon,219.0,29.0,0.0,0.0,166.0,414.0,23,13,0,0.0,13,49,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,242.0,42.0,0.0,0.0,179.0,463.0,5.0
Coquille Valley Hospital,3,2007,Oregon,159.0,20.0,0.0,0.0,142.0,321.0,15,17,0,0.0,5,37,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,174.0,37.0,0.0,0.0,147.0,358.0,7.0
Coquille Valley Hospital,4,2007,Oregon,221.0,48.0,0.0,0.0,126.0,395.0,22,14,0,0.0,0,36,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,243.0,62.0,0.0,0.0,126.0,431.0,14.0
Curry General Hospital,1,2007,Oregon,379.0,51.0,46.0,0.0,66.0,542.0,0,0,12,0.0,0,12,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,379.0,51.0,58.0,0.0,66.0,554.0,18.0
Curry General Hospital,2,2007,Oregon,275.0,57.0,28.0,0.0,151.0,511.0,19,0,0,0.0,0,19,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,294.0,57.0,28.0,0.0,151.0,530.0,18.0
Curry General Hospital,3,2007,Oregon,386.0,55.0,26.0,0.0,79.0,546.0,39,0,0,0.0,0,39,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,425.0,55.0,26.0,0.0,79.0,585.0,28.0
Curry General Hospital,4,2007,Oregon,431.0,74.0,56.0,0.0,124.0,685.0,6,0,0,0.0,10,16,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,437.0,74.0,56.0,0.0,134.0,701.0,17.0
Good Samaritan Regional Medical Center,1,2007,Oregon,4469.0,908.0,675.0,0.0,2043.0,8095.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,693.0,347.0,27,0.0,897.0,1964.0,5162.0,1255.0,702.0,0.0,2940.0,10059.0,646.0
Good Samaritan Regional Medical Center,2,2007,Oregon,3762.0,862.0,482.0,0.0,2401.0,7507.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,724.0,478.0,38,0.0,711.0,1951.0,4486.0,1340.0,520.0,0.0,3112.0,9458.0,655.0
Good Samaritan Regional Medical Center,3,2007,Oregon,3791.0,551.0,633.0,0.0,2426.0,7401.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,520.0,596.0,30,0.0,797.0,1943.0,4311.0,1147.0,663.0,0.0,3223.0,9344.0,665.0
Good Samaritan Regional Medical Center,4,2007,Oregon,4140.0,845.0,730.0,0.0,2094.0,7809.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,448.0,410.0,16,0.0,1083.0,1957.0,4588.0,1255.0,746.0,0.0,3177.0,9766.0,614.0
Good Shepherd Medical Center,1,2007,Oregon,676.0,369.0,103.0,0.0,411.0,1559.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,676.0,369.0,103.0,0.0,411.0,1559.0,263.0
Good Shepherd Medical Center,2,2007,Oregon,641.0,280.0,123.0,0.0,470.0,1514.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,641.0,280.0,123.0,0.0,470.0,1514.0,293.0
Good Shepherd Medical Center,3,2007,Oregon,614.0,289.0,121.0,0.0,362.0,1386.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,614.0,289.0,121.0,0.0,362.0,1386.0,231.0
Good Shepherd Medical Center,4,2007,Oregon,706.0,301.0,104.0,0.0,443.0,1554.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,706.0,301.0,104.0,0.0,443.0,1554.0,270.0
Grande Ronde Hospital,1,2007,Oregon,887.0,149.0,62.0,0.0,475.0,1573.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,887.0,149.0,62.0,0.0,475.0,1573.0,142.0
Grande Ronde Hospital,2,2007,Oregon,861.0,222.0,61.0,0.0,393.0,1537.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,861.0,222.0,61.0,0.0,393.0,1537.0,199.0
Grande Ronde Hospital,3,2007,Oregon,782.0,138.0,66.0,0.0,360.0,1346.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,782.0,138.0,66.0,0.0,360.0,1346.0,153.0
Grande Ronde Hospital,4,2007,Oregon,822.0,174.0,62.0,0.0,344.0,1402.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,822.0,174.0,62.0,0.0,344.0,1402.0,131.0
Harney District Hospital,1,2007,Oregon,187.0,2.0,0.0,0.0,227.0,416.0,119,0,0,0.0,0,119,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,306.0,2.0,0.0,0.0,227.0,535.0,30.0
Harney District Hospital,2,2007,Oregon,155.0,6.0,0.0,0.0,177.0,338.0,89,0,0,0.0,0,89,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,244.0,6.0,0.0,0.0,177.0,427.0,29.0
Harney District Hospital,3,2007,Oregon,155.0,2.0,0.0,0.0,197.0,354.0,33,0,0,0.0,8,41,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,188.0,2.0,0.0,0.0,205.0,395.0,24.0
Harney District Hospital,4,2007,Oregon,183.0,14.0,0.0,0.0,190.0,387.0,96,0,0,0.0,0,96,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,279.0,14.0,0.0,0.0,190.0,483.0,21.0
Hillsboro Medical Center,1,2007,Oregon,3731.0,829.0,514.0,0.0,1558.0,6632.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1417.0,19.0,0,0.0,33.0,1469.0,5148.0,848.0,514.0,0.0,1591.0,8101.0,645.0
Hillsboro Medical Center,2,2007,Oregon,3057.0,744.0,492.0,0.0,1652.0,5945.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1436.0,34.0,0,0.0,48.0,1518.0,4493.0,778.0,492.0,0.0,1700.0,7463.0,669.0
Hillsboro Medical Center,3,2007,Oregon,2840.0,699.0,380.0,0.0,1604.0,5523.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1498.0,30.0,0,0.0,6.0,1534.0,4338.0,729.0,380.0,0.0,1610.0,7057.0,692.0
Hillsboro Medical Center,4,2007,Oregon,2973.0,665.0,374.0,0.0,1763.0,5775.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1362.0,31.0,24,0.0,41.0,1458.0,4335.0,696.0,398.0,0.0,1804.0,7233.0,658.0
Kaiser Sunnyside Medical Center,1,2007,Oregon,6578.0,211.0,404.0,0.0,7052.0,14245.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6578.0,211.0,404.0,0.0,7052.0,14245.0,876.0
Kaiser Sunnyside Medical Center,2,2007,Oregon,6906.0,116.0,547.0,0.0,6627.0,14196.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6906.0,116.0,547.0,0.0,6627.0,14196.0,993.0
Kaiser Sunnyside Medical Center,3,2007,Oregon,7015.0,251.0,376.0,0.0,6707.0,14349.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,7015.0,251.0,376.0,0.0,6707.0,14349.0,991.0
Kaiser Sunnyside Medical Center,4,2007,Oregon,7105.0,307.0,434.0,0.0,6789.0,14635.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,7105.0,307.0,434.0,0.0,6789.0,14635.0,952.0
Lake District Hospital,1,2007,Oregon,303.0,71.0,13.0,0.0,73.0,460.0,52,2,0,0.0,3,57,137,1940,942,0.0,100,3119,0.0,0.0,0,0.0,0.0,0.0,492.0,2013.0,955.0,0.0,176.0,3636.0,33.0
Lake District Hospital,2,2007,Oregon,272.0,52.0,15.0,0.0,101.0,440.0,159,18,0,0.0,7,184,352,1850,598,0.0,95,2895,0.0,0.0,0,0.0,0.0,0.0,783.0,1920.0,613.0,0.0,203.0,3519.0,4.0
Lake District Hospital,3,2007,Oregon,207.0,28.0,24.0,0.0,86.0,345.0,193,7,3,0.0,0,203,174,2006,462,0.0,0,2642,0.0,0.0,0,0.0,0.0,0.0,574.0,2041.0,489.0,0.0,86.0,3190.0,22.0
Lake District Hospital,4,2007,Oregon,235.0,46.0,21.0,0.0,83.0,385.0,116,0,0,0.0,0,116,87,1703,399,0.0,0,2189,0.0,0.0,0,0.0,0.0,0.0,438.0,1749.0,420.0,0.0,83.0,2690.0,26.0
Legacy Emanuel Medical Center,1,2007,Oregon,5732.0,5863.0,1831.0,0.0,9940.0,23366.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,405.0,951.0,101,0.0,1245.0,2702.0,6137.0,6814.0,1932.0,0.0,11185.0,26068.0,833.0
Legacy Emanuel Medical Center,2,2007,Oregon,5365.0,7164.0,1907.0,0.0,10239.0,24675.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,342.0,1030.0,61,0.0,1461.0,2894.0,5707.0,8194.0,1968.0,0.0,11700.0,27569.0,777.0
Legacy Emanuel Medical Center,3,2007,Oregon,5139.0,6423.0,2116.0,0.0,10917.0,24595.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,459.0,943.0,112,0.0,1192.0,2706.0,5598.0,7366.0,2228.0,0.0,12109.0,27301.0,872.0
Legacy Emanuel Medical Center,4,2007,Oregon,5456.0,5761.0,1520.0,0.0,11018.0,23755.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,362.0,834.0,122,0.0,1351.0,2669.0,5818.0,6595.0,1642.0,0.0,12369.0,26424.0,805.0
Legacy Good Samaritan Medical Center,1,2007,Oregon,6562.0,971.0,696.0,0.0,3848.0,12077.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1018.0,442.0,208,0.0,1765.0,3433.0,7580.0,1413.0,904.0,0.0,5613.0,15510.0,704.0
Legacy Good Samaritan Medical Center,2,2007,Oregon,6505.0,1130.0,846.0,0.0,3770.0,12251.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1186.0,377.0,132,0.0,1655.0,3350.0,7691.0,1507.0,978.0,0.0,5425.0,15601.0,854.0
Legacy Good Samaritan Medical Center,3,2007,Oregon,6278.0,1032.0,576.0,0.0,3852.0,11738.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1136.0,406.0,124,0.0,1642.0,3308.0,7414.0,1438.0,700.0,0.0,5494.0,15046.0,652.0
Legacy Good Samaritan Medical Center,4,2007,Oregon,6158.0,1016.0,658.0,0.0,3881.0,11713.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,947.0,486.0,298,0.0,2016.0,3747.0,7105.0,1502.0,956.0,0.0,5897.0,15460.0,756.0
Legacy Meridian Park Medical Center,1,2007,Oregon,4480.0,314.0,274.0,0.0,2166.0,7234.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4480.0,314.0,274.0,0.0,2166.0,7234.0,616.0
Legacy Meridian Park Medical Center,2,2007,Oregon,4055.0,387.0,287.0,0.0,2228.0,6957.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4055.0,387.0,287.0,0.0,2228.0,6957.0,700.0
Legacy Meridian Park Medical Center,3,2007,Oregon,3714.0,343.0,192.0,0.0,2211.0,6460.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3714.0,343.0,192.0,0.0,2211.0,6460.0,684.0
Legacy Meridian Park Medical Center,4,2007,Oregon,4390.0,354.0,243.0,0.0,2380.0,7367.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4390.0,354.0,243.0,0.0,2380.0,7367.0,588.0
Legacy Mount Hood Medical Center,1,2007,Oregon,2190.0,736.0,402.0,0.0,1400.0,4728.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2190.0,736.0,402.0,0.0,1400.0,4728.0,544.0
Legacy Mount Hood Medical Center,2,2007,Oregon,2087.0,780.0,377.0,0.0,1293.0,4537.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2087.0,780.0,377.0,0.0,1293.0,4537.0,549.0
Legacy Mount Hood Medical Center,3,2007,Oregon,1910.0,871.0,411.0,0.0,1294.0,4486.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1910.0,871.0,411.0,0.0,1294.0,4486.0,541.0
Legacy Mount Hood Medical Center,4,2007,Oregon,1719.0,929.0,410.0,0.0,1617.0,4675.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1719.0,929.0,410.0,0.0,1617.0,4675.0,576.0
Legacy Silverton Medical Center,1,2007,Oregon,289.0,784.0,0.0,0.0,1127.0,2200.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,289.0,784.0,0.0,0.0,1127.0,2200.0,823.0
Legacy Silverton Medical Center,2,2007,Oregon,340.0,769.0,0.0,0.0,1082.0,2191.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,340.0,769.0,0.0,0.0,1082.0,2191.0,840.0
Legacy Silverton Medical Center,3,2007,Oregon,273.0,840.0,0.0,0.0,1143.0,2256.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,273.0,840.0,0.0,0.0,1143.0,2256.0,943.0
Legacy Silverton Medical Center,4,2007,Oregon,354.0,931.0,0.0,0.0,1302.0,2587.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,354.0,931.0,0.0,0.0,1302.0,2587.0,965.0
Lower Umpqua Hospital,1,2007,Oregon,335.0,19.0,73.0,0.0,98.0,525.0,175,15,0,0.0,23,213,0,1616,635,0.0,0,2251,0.0,0.0,0,0.0,0.0,0.0,510.0,1650.0,708.0,0.0,121.0,2989.0,0.0
Lower Umpqua Hospital,2,2007,Oregon,291.0,14.0,32.0,0.0,70.0,407.0,163,11,0,0.0,0,174,0,1406,760,0.0,0,2166,0.0,0.0,0,0.0,0.0,0.0,454.0,1431.0,792.0,0.0,70.0,2747.0,0.0
Lower Umpqua Hospital,3,2007,Oregon,277.0,20.0,33.0,0.0,65.0,395.0,163,4,0,0.0,0,167,0,1255,885,0.0,0,2140,0.0,0.0,0,0.0,0.0,0.0,440.0,1279.0,918.0,0.0,65.0,2702.0,0.0
Lower Umpqua Hospital,4,2007,Oregon,242.0,12.0,10.0,0.0,59.0,323.0,182,0,1,0.0,27,210,0,1665,638,0.0,0,2303,0.0,0.0,0,0.0,0.0,0.0,424.0,1677.0,649.0,0.0,86.0,2836.0,0.0
McKenzie-Willamette Medical Center,1,2007,Oregon,2183.0,518.0,495.0,0.0,2146.0,5342.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2183.0,518.0,495.0,0.0,2146.0,5342.0,462.0
McKenzie-Willamette Medical Center,2,2007,Oregon,2207.0,556.0,360.0,0.0,2059.0,5182.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2207.0,556.0,360.0,0.0,2059.0,5182.0,459.0
