State,Hospital_Name,Year,Quarter,Acute_Care_Medicare_Discharges,Acute_Care_Medicaid_Discharges,Acute_Care_Self_Pay_Discharges,Acute_Care_Commercial_Discharges,Acute_Care_Other_Discharges,Acute_Care_Total_Discharges,Swing_Bed_Medicare_Discharges,Swing_Bed_Medicaid_Discharges,Swing_Bed_Self_Pay_Discharges,Swing_Bed_Commercial_Discharges,Swing_Bed_Other_Discharges,Swing_Bed_Total_Discharges,SNF_Subacute_LTC_Medicare_Discharges,SNF_Subacute_LTC_Medicaid_Discharges,SNF_Subacute_LTC_Self_Pay_Discharges,SNF_Subacute_LTC_Commercial_Discharges,SNF_Subacute_LTC_Other_Discharges,SNF_Subacute_LTC_Total_Discharges,Psych_Rehab_CDU_Medicare_Discharges,Psych_Rehab_CDU_Medicaid_Discharges,Psych_Rehab_CDU_Self_Pay_Discharges,Psych_Rehab_CDU_Commercial_Discharges,Psych_Rehab_CDU_Other_Discharges,Psych_Rehab_CDU_Total_Discharges,Total_Medicare_Discharges,Total_Medicaid_Discharges,Total_Self_Pay_Discharges,Total_Commercial_Discharges,Total_Other_Discharges,Total_Discharges,Total_Inpatient_Surgeries,Total_Births,Number_of_Admissions_from_ER,Emergency_Room_Visits,Outpatient_Surgery_Visits,Observation_Visits,Home_Health_Visits,Total_Outpatient_Visits
WA,St. Luke's Rehabilitation Institute,2018,1,184.0,56,0,0.0,69,309.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,184.0,56,0,0.0,69,309.0,0.0,0,0.0,0.0,0.0,0,0.0,28627.0
WA,Swedish Health Services DBA Swedish Medical Cente,2018,1,1403.0,297,0,0.0,701,2401.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1403.0,297,0,0.0,701,2401.0,965.0,0,746.0,4662.0,729.0,383,0.0,39522.0
WA,Klickitat County Public Hospital District #1,2018,1,35.0,6,0,0.0,1,42.0,11,1,0,0.0,0,12,1,0,0,0.0,0,1,0.0,0,0,0.0,0,0.0,47.0,7,0,0.0,1,55.0,12.0,0,22.0,1330.0,73.0,33,458.0,13748.0
WA,Virginia Mason Medical Center,2018,1,1700.0,305,0,0.0,937,2942.0,0,0,0,0.0,0,0,0,12,0,0.0,0,12,0.0,0,0,0.0,0,0.0,1700.0,317,0,0.0,937,2954.0,1415.0,0,0.0,6039.0,2353.0,0,0.0,238130.0
WA,Seattle Children's Hospital,2018,1,26.0,1301,0,0.0,1479,2806.0,0,81,0,0.0,92,173,0,0,0,0.0,0,0,0.0,146,0,0.0,167,313.0,26.0,1528,0,0.0,1738,3292.0,1145.0,0,2775.0,14868.0,3509.0,0,0.0,111330.0
WA,Newport Hospital & Health Services,2018,1,82.0,23,0,0.0,12,117.0,23,0,0,0.0,0,23,10,8,0,0.0,5,23,0.0,0,0,0.0,0,0.0,115.0,31,0,0.0,17,163.0,0.0,16,149.0,1641.0,197.0,83,0.0,32598.0
WA,Lourdes Medical Center,2018,1,310.0,73,0,0.0,147,530.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,38.0,2,0,0.0,7,47.0,348.0,75,0,0.0,154,577.0,320.0,0,83.0,5941.0,1095.0,0,0.0,59527.0
WA,Three Rivers Hospital,2018,1,25.0,19,0,0.0,39,83.0,6,0,0,0.0,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,31.0,19,0,0.0,39,89.0,58.0,18,0.0,833.0,4.0,91,0.0,2863.0
WA,PeaceHealth St John Medical Center,2018,1,1050.0,448,0,0.0,331,1829.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1050.0,448,0,0.0,331,1829.0,322.0,177,1382.0,12661.0,1507.0,344,0.0,28334.0
WA,Harborview Medical Center,2018,1,1354.0,1201,0,0.0,1103,3658.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,126.0,241,0,0.0,64,431.0,1480.0,1442,0,0.0,1167,4089.0,2566.0,0,3139.0,11222.0,1341.0,873,0.0,78717.0
WA,St.Joseph Medical Center,2018,1,2003.0,1778,0,0.0,1048,4829.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,85.0,21,0,0.0,31,137.0,2088.0,1799,0,0.0,1079,4966.0,1552.0,1108,2884.0,10257.0,2048.0,1533,56421.0,106785.0
WA,St. Elizabeth Hospital,2018,1,174.0,151,0,0.0,100,425.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,174.0,151,0,0.0,100,425.0,111.0,101,351.0,3742.0,329.0,155,0.0,9488.0
WA,Deaconess Hospital - MultiCare Health Systems,2018,1,1194.0,643,0,0.0,823,2660.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1194.0,643,0,0.0,823,2660.0,753.0,307,1259.0,11699.0,1452.0,654,0.0,28631.0
WA,Olympic Medical Center,2018,1,619.0,205,0,0.0,213,1037.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,619.0,205,0,0.0,213,1037.0,371.0,120,0.0,7314.0,1610.0,220,12896.0,120795.0
WA,RCCH Trios Health LLC,2018,1,683.0,339,0,0.0,355,1377.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,683.0,339,0,0.0,355,1377.0,258.0,338,680.0,7566.0,494.0,384,3071.0,69375.0
WA,Shriners Hospitals for Children - Spokane,2018,1,0.0,16,0,0.0,12,28.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,16,0,0.0,12,28.0,0.0,0,0.0,0.0,182.0,0,0.0,3561.0
WA,Columbia Basin Hospital,2018,1,40.0,4,0,0.0,6,50.0,32,3,0,0.0,11,46,0,4,0,0.0,3,7,0.0,0,0,0.0,0,0.0,72.0,11,0,0.0,20,103.0,0.0,0,46.0,1199.0,0.0,41,0.0,9149.0
WA,PHM Medical Center,2018,1,79.0,81,0,0.0,61,221.0,31,1,0,0.0,0,32,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,110.0,82,0,0.0,61,253.0,101.0,91,84.0,2899.0,1202.0,145,0.0,8804.0
WA,PROVIDENCE ST MARY MEDICAL CENTER,2018,1,901.0,317,0,0.0,401,1619.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,901.0,317,0,0.0,401,1619.0,534.0,170,973.0,6692.0,1095.0,167,6110.0,64584.0
WA,Forks Community Hospital,2018,1,37.0,11,0,0.0,13,61.0,21,10,0,0.0,5,36,0,14,0,0.0,11,25,0.0,0,0,0.0,0,0.0,58.0,35,0,0.0,29,122.0,5.0,0,36.0,1382.0,46.0,67,0.0,11442.0
WA,Public Hospital District 2 dba Willapa Harbor Hos,2018,1,49.0,8,0,0.0,14,71.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,49.0,8,0,0.0,14,71.0,0.0,0,55.0,1067.0,86.0,91,0.0,3324.0
WA,YAKIMA VALLEY MEMORIAL,2018,1,1706.0,1035,0,0.0,800,3541.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,30.0,19,0,0.0,18,67.0,1736.0,1054,0,0.0,818,3608.0,717.0,665,2563.0,22967.0,2007.0,0,0.0,132286.0
WA,Grays Harbor Community Hospital,2018,1,427.0,180,0,0.0,138,745.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,59,0,0.0,37,96.0,427.0,239,0,0.0,175,841.0,190.0,115,846.0,5954.0,729.0,468,0.0,39792.0
WA,Samaritan Hospital,2018,1,283.0,270,0,0.0,236,789.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,283.0,270,0,0.0,236,789.0,234.0,255,532.0,4726.0,691.0,92,0.0,14521.0
WA,Pacific County Public Healthcare Services Distric,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Odessa Memorial Healthcare Center,2018,1,3.0,0,0,0.0,1,4.0,6,2,0,0.0,1,9,0,2,0,0.0,1,3,0.0,0,0,0.0,0,0.0,9.0,4,0,0.0,3,16.0,0.0,0,3.0,115.0,8.0,10,0.0,2150.0
WA,Good Samaritan Hospital,2018,1,2208.0,983,0,0.0,1488,4679.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,84.0,39,0,0.0,34,157.0,2292.0,1022,0,0.0,1522,4836.0,796.0,542,3593.0,20959.0,1343.0,736,0.0,32938.0
WA,Garfield County Public Hospital District,2018,1,0.0,0,0,0.0,0,0.0,7,3,0,0.0,6,16,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,7.0,3,0,0.0,6,16.0,0.0,0,54.0,142.0,0.0,13,0.0,676.0
WA,Providence Regional Medical Center Everett,2018,1,3591.0,1547,0,0.0,2695,7833.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,3591.0,1547,0,0.0,2695,7833.0,1903.0,1020,4868.0,17382.0,3095.0,1160,0.0,123997.0
WA,Jefferson County Public Hospital District No 2,2018,1,271.0,62,0,0.0,57,390.0,6,0,0,0.0,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,277.0,62,0,0.0,57,396.0,62.0,28,342.0,3155.0,496.0,64,2831.0,56156.0
WA,Skyline Health,2018,1,30.0,8,0,0.0,10,48.0,25,0,0,0.0,0,25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,55.0,8,0,0.0,10,73.0,0.0,0,67.0,850.0,134.0,23,0.0,2882.0
WA,Astria Regional Medical Center,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,EvergreenHealth Monroe,2018,1,142.0,67,0,0.0,81,290.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2.0,12,0,0.0,171,185.0,144.0,79,0,0.0,252,475.0,49.0,0,319.0,3758.0,398.0,0,0.0,10912.0
WA,CASCADE VALLEY HOSPITAL,2018,1,182.0,108,0,0.0,88,378.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,182.0,108,0,0.0,88,378.0,150.0,31,408.0,4859.0,404.0,422,0.0,18081.0
WA,NORTH VALLEY HOSPITAL OCPHD#4,2018,1,53.0,40,0,0.0,11,104.0,22,1,0,0.0,0,23,2,5,0,0.0,2,9,0.0,0,0,0.0,0,0.0,77.0,46,0,0.0,13,136.0,5.0,15,42.0,1046.0,75.0,53,0.0,2289.0
WA,Tri-State Memorial Hospital,2018,1,243.0,29,0,0.0,50,322.0,10,0,0,0.0,0,10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,253.0,29,0,0.0,50,332.0,135.0,0,208.0,3865.0,296.0,77,0.0,82535.0
WA,EAST ADAMS RURAL HEALTHCARE,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Othello Community Hospital,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Highline Medical Center,2018,1,781.0,596,0,0.0,345,1722.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,781.0,596,0,0.0,345,1722.0,371.0,221,1337.0,12714.0,524.0,565,0.0,29067.0
WA,University of Washington Medical Center,2018,1,1657.0,994,0,0.0,2005,4656.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1657.0,994,0,0.0,2005,4656.0,1681.0,475,1490.0,5748.0,2435.0,483,0.0,97765.0
WA,Quincy Valley Medical Center,2018,1,7.0,0,0,0.0,1,8.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,7.0,0,0,0.0,1,8.0,0.0,0,0.0,761.0,0.0,6,0.0,3405.0
WA,UW Medical Center ? Northwest,2018,1,1321.0,369,0,0.0,710,2400.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,55.0,4,0,0.0,1,60.0,1376.0,373,0,0.0,711,2460.0,719.0,268,1564.0,6888.0,2166.0,490,0.0,128563.0
WA,Overlake Hospital Medical Center,2018,1,2068.0,407,0,0.0,1938,4413.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,47.0,62,0,0.0,149,258.0,2115.0,469,0,0.0,2087,4671.0,1463.0,877,2573.0,10134.0,1484.0,1315,0.0,137953.0
WA,St. Clare Hospital,2018,1,801.0,329,0,0.0,298,1428.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,801.0,329,0,0.0,298,1428.0,269.0,0,1289.0,9610.0,745.0,800,0.0,24260.0
WA,Island Hospital,2018,1,307.0,135,0,0.0,259,701.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,307.0,135,0,0.0,259,701.0,295.0,114,0.0,4701.0,1124.0,0,0.0,29723.0
WA,LINCOLN COUNTY HOSPITAL DISTRICT # 3,2018,1,61.0,10,0,0.0,15,86.0,29,3,0,0.0,5,37,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,90.0,13,0,0.0,20,123.0,4.0,0,64.0,669.0,130.0,0,0.0,7031.0
WA,Swedish Edmonds,2018,1,1443.0,530,0,0.0,844,2817.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1443.0,530,0,0.0,844,2817.0,634.0,286,1899.0,10929.0,690.0,1143,0.0,30942.0
WA,HOLY FAMILY HOSPITAL,2018,1,1101.0,511,0,0.0,480,2092.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1101.0,511,0,0.0,480,2092.0,578.0,284,1432.0,12285.0,1458.0,196,0.0,47008.0
WA,Kittitas Valley Healthcare,2018,1,119.0,63,0,0.0,90,272.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,119.0,63,0,0.0,90,272.0,64.0,79,132.0,3596.0,571.0,259,4966.0,24246.0
WA,Columbia County Public Hospital District No. 1,2018,1,34.0,8,0,0.0,2,44.0,22,10,0,0.0,20,52,0,3,0,0.0,2,5,0.0,0,0,0.0,0,0.0,56.0,21,0,0.0,24,101.0,0.0,0,34.0,423.0,0.0,17,0.0,6516.0
WA,St Michael Medical Center,2018,1,1655.0,798,0,0.0,929,3382.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1655.0,798,0,0.0,929,3382.0,909.0,498,2314.0,18071.0,1897.0,1011,0.0,84343.0
WA,PeaceHealth St Joseph Medical Center,2018,1,2147.0,737,0,0.0,938,3822.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,73.0,41,0,0.0,34,148.0,2220.0,778,0,0.0,972,3970.0,923.0,523,2524.0,13978.0,1076.0,1890,0.0,26118.0
WA,Mid Valley Hospital,2018,1,69.0,61,0,0.0,41,171.0,1,0,0,0.0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70.0,61,0,0.0,41,172.0,55.0,56,202.0,1984.0,366.0,105,0.0,12664.0
WA,Kindred Hospital Seattle - Northgate,2018,1,52.0,4,0,0.0,70,126.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,52.0,4,0,0.0,70,126.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Douglas Lincoln and Okanogan Public Hospital Di,2018,1,52.0,40,0,0.0,38,130.0,18,1,0,0.0,2,21,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70.0,41,0,0.0,40,151.0,16.0,22,61.0,898.0,108.0,50,0.0,41557.0
WA,Providence St. Peter Hospital,2018,1,2683.0,956,0,0.0,1373,5012.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2683.0,956,0,0.0,1373,5012.0,1446.0,529,3551.0,12767.0,1442.0,592,0.0,96097.0
WA,Kadlec Regional Medical Center,2018,1,1833.0,914,0,0.0,1272,4019.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1833.0,914,0,0.0,1272,4019.0,1008.0,680,2583.0,25918.0,3877.0,1577,0.0,262304.0
WA,Sacred Heart Medical Center,2018,1,3109.0,1975,0,0.0,2228,7312.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,3109.0,1975,0,0.0,2228,7312.0,2664.0,724,3334.0,17827.0,3731.0,1336,0.0,171869.0
WA,EvergreenHealth Kirkland / King Country Public Ho,2018,1,1443.0,519,0,0.0,2098,4060.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,49.0,0,0,0.0,20,69.0,1492.0,519,0,0.0,2118,4129.0,883.0,1112,2367.0,14691.0,2985.0,379,36467.0,316685.0
WA,Lake Chelan Health,2018,1,89.0,8,0,0.0,42,139.0,99,0,0,0.0,5,104,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,188.0,8,0,0.0,47,243.0,13.0,26,0.0,1216.0,190.0,36,0.0,1442.0
WA,Ferry County Memorial Hospital,2018,1,14.0,0,0,0.0,8,22.0,7,1,0,0.0,2,10,0,3,0,0.0,0,3,0.0,0,0,0.0,0,0.0,21.0,4,0,0.0,10,35.0,0.0,0,17.0,405.0,0.0,23,0.0,2367.0
WA,Confluence Health: Central Washington Hospital,2018,1,1462.0,621,0,0.0,745,2828.0,0,0,0,0.0,0,0,57,11,0,0.0,3,71,0.0,0,0,0.0,0,0.0,1519.0,632,0,0.0,748,2899.0,759.0,311,0.0,9262.0,1991.0,653,4782.0,33935.0
WA,PeaceHealth Southwest Medical Center,2018,1,2618.0,1014,0,0.0,1209,4841.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,38.0,7,0,0.0,11,56.0,2656.0,1021,0,0.0,1220,4897.0,1261.0,387,3431.0,15432.0,3299.0,1073,7168.0,45721.0
WA,Public Hospital District #1-A of Whitman County,2018,1,139.0,56,0,0.0,111,306.0,5,0,0,0.0,0,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,144.0,56,0,0.0,111,311.0,122.0,77,309.0,3429.0,0.0,190,0.0,21482.0
WA,Arbor Health,2018,1,31.0,4,0,0.0,16,51.0,6,1,0,0.0,0,7,0,1,0,0.0,0,1,0.0,0,0,0.0,0,0.0,37.0,6,0,0.0,16,59.0,0.0,0,50.0,1091.0,57.0,57,0.0,7991.0
WA,Mary Bridge Children's Hospital,2018,1,0.0,683,0,0.0,437,1120.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,683,0,0.0,437,1120.0,245.0,0,799.0,13525.0,1202.0,225,0.0,39564.0
WA,Tacoma General / Allenmore,2018,1,2123.0,1645,0,0.0,1714,5482.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2123.0,1645,0,0.0,1714,5482.0,1391.0,788,3127.0,21426.0,2335.0,520,0.0,132693.0
WA,Valley Hospital and Medical Center,2018,1,787.0,290,0,0.0,342,1419.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,787.0,290,0,0.0,342,1419.0,429.0,144,1122.0,9967.0,1270.0,287,0.0,15551.0
WA,Auburn Medical Center,2018,1,658.0,652,0,0.0,422,1732.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,30.0,12,0,0.0,15,57.0,688.0,664,0,0.0,437,1789.0,240.0,324,1113.0,10701.0,663.0,163,0.0,16766.0
WA,Grays Harbor Count,2018,1,65.0,13,0,0.0,5,83.0,4,1,0,0.0,1,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,69.0,14,0,0.0,6,89.0,0.0,0,83.0,3392.0,0.0,122,0.0,13649.0
WA,Providence Centralia Hospital,2018,1,673.0,313,0,0.0,209,1195.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,673.0,313,0,0.0,209,1195.0,208.0,135,1054.0,8268.0,541.0,254,0.0,74788.0
WA,MOUNT CARMEL HOSPITAL,2018,1,141.0,70,0,0.0,49,260.0,4,2,0,0.0,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,145.0,72,0,0.0,49,266.0,47.0,50,174.0,2303.0,204.0,94,0.0,23394.0
WA,PROVIDENCE ST JOSEPH HOSPITAL,2018,1,65.0,10,0,0.0,11,86.0,44,2,0,0.0,0,46,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,109.0,12,0,0.0,11,132.0,1.0,0,77.0,1136.0,42.0,33,0.0,8247.0
WA,Snoqualmie Valley Hospital,2018,1,5.0,1,0,0.0,4,10.0,46,0,0,0.0,7,53,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,51.0,1,0,0.0,11,63.0,0.0,0,2.0,999.0,84.0,2,0.0,8180.0
WA,Capital Medical Center,2018,1,521.0,96,0,0.0,552,1169.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,521.0,96,0,0.0,552,1169.0,580.0,153,464.0,5021.0,775.0,273,0.0,17584.0
WA,Astria Sunnyside Hospital,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,ASTRIA TOPPENISH HOSPITAL,2018,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,St. Francis Hospital,2018,1,1006.0,731,0,0.0,331,2068.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1006.0,731,0,0.0,331,2068.0,514.0,302,1494.0,11538.0,699.0,1093,0.0,43346.0
WA,Regional Hospital for Respiratory & Complex Care,2018,1,24.0,2,0,0.0,13,39.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,24.0,2,0,0.0,13,39.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Fred Hutchinson Cancer Center,2018,1,53.0,26,0,0.0,75,154.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,53.0,26,0,0.0,75,154.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0
WA,Confluence Health: Wenatchee Valley Hospital,2018,1,43.0,7,0,0.0,55,105.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,21.0,6,0,0.0,17,44.0,64.0,13,0,0.0,72,149.0,87.0,0,0.0,0.0,1378.0,0,0.0,251702.0
WA,PeaceHealth United General Medical Center,2018,1,141.0,20,0,0.0,17,178.0,19,9,0,0.0,2,30,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,160.0,29,0,0.0,19,208.0,21.0,0,157.0,2922.0,305.0,199,0.0,7611.0
